movieid,title
1,Toy Story
2,Jumanji
3,Grumpier Old Men
4,Waiting to Exhale
5,Father of the Bride Part II
6,Heat
915,Sabrina
8,Tom and Huck
9,Sudden Death
10,GoldenEye
11,"American President, The"
12,Dracula: Dead and Loving It
13,Balto
14,Nixon
15,Cutthroat Island
16,Casino
17,Sense and Sensibility
18,Four Rooms
19,Ace Ventura: When Nature Calls
20,Money Train
21,Get Shorty
22,Copycat
23,Assassins
24,Powder
25,Leaving Las Vegas
26,Othello
27,Now and Then
74508,Persuasion
29,"City of Lost Children, The (Cité des enfants perdus, La)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao)
31,Dangerous Minds
32,Twelve Monkeys (a.k.a. 12 Monkeys)
34,Babe
36,Dead Man Walking
38,It Takes Two
39,Clueless
40,"Cry, the Beloved Country"
41,Richard III
42,Dead Presidents
43,Restoration
44,Mortal Kombat
45,To Die For
46,How to Make an American Quilt
47,Seven (a.k.a. Se7en)
48,Pocahontas
49,When Night Is Falling
50,"Usual Suspects, The"
52,Mighty Aphrodite
53,Lamerica
54,"Big Green, The"
55,Georgia
57,Home for the Holidays
58,"Postman, The (Postino, Il)"
60,"Indian in the Cupboard, The"
61,Eye for an Eye
62,Mr. Holland's Opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,Two if by Sea
65,Bio-Dome
66,Lawnmower Man 2: Beyond Cyberspace
68,French Twist (Gazon maudit)
69,Friday
70,From Dusk Till Dawn
71,Fair Game
72,Kicking and Screaming
99532,"Misérables, Les"
74,Bed of Roses
75,Big Bully
76,Screamers
77,Nico Icon
78,"Crossing Guard, The"
79,"Juror, The"
80,"White Balloon, The (Badkonake sefid)"
81,Things to Do in Denver When You're Dead
82,Antonia's Line (Antonia)
83,Once Upon a Time... When We Were Colored
85,Angels and Insects
86,White Squall
87,Dunston Checks In
55553,Black Sheep
89,Nick of Time
92,Mary Reilly
93,Vampire in Brooklyn
94,Beautiful Girls
54121,Broken Arrow
96,In the Bleak Midwinter
97,"Hate (Haine, La)"
99,Heidi Fleiss: Hollywood Madam
100,City Hall
101,Bottle Rocket
102,Mr. Wrong
103,Unforgettable
104,Happy Gilmore
105,"Bridges of Madison County, The"
106,Nobody Loves Me (Keiner liebt mich)
107,Muppet Treasure Island
108,Catwalk
110,Braveheart
111,Taxi Driver
112,Rumble in the Bronx (Hont faan kui)
113,Before and After
116,Anne Frank Remembered
117,"Young Poisoner's Handbook, The"
118,If Lucy Fell
119,"Steal Big, Steal Little"
121,"Boys of St. Vincent, The"
122,Boomerang
123,Chungking Express (Chung Hing sam lam)
125,Flirting With Disaster
126,"NeverEnding Story III, The"
128,Jupiter's Wife
129,Pie in the Sky
132,Jade
135,Down Periscope
48593,Man of the Year
140,Up Close and Personal
141,"Birdcage, The"
144,"Brothers McMullen, The"
145,Bad Boys
146,"Amazing Panda Adventure, The"
147,"Basketball Diaries, The"
148,"Awfully Big Adventure, An"
149,Amateur
150,Apollo 13
151,Rob Roy
152,"Addiction, The"
153,Batman Forever
154,Beauty of the Day (Belle de jour)
155,Beyond Rangoon
156,Blue in the Face
157,Canadian Bacon
158,Casper
159,Clockers
160,Congo
161,Crimson Tide
162,Crumb
163,Desperado
164,Devil in a Blue Dress
165,Die Hard: With a Vengeance
166,"Doom Generation, The"
168,First Knight
169,Free Willy 2: The Adventure Home
170,Hackers
171,Jeffrey
172,Johnny Mnemonic
173,Judge Dredd
174,Jury Duty
175,Kids
176,Living in Oblivion
177,Lord of Illusions
178,Love & Human Remains
179,Mad Love
180,Mallrats
181,Mighty Morphin Power Rangers: The Movie
183,Mute Witness
184,Nadja
185,"Net, The"
186,Nine Months
187,Party Girl
188,"Prophecy, The"
189,Reckless
94405,Safe
191,"Scarlet Letter, The"
193,Showgirls
194,Smoke
195,Something to Talk About
196,Species
198,Strange Days
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)"
201,Three Wishes
202,Total Eclipse
